video_id,title,url
3lfqkGvfeLw,"$100,000 Asking Price for WHAT?! Top 7 Pricey Sales | Pawn Stars",https://www.youtube.com/watch?v=3lfqkGvfeLw
7UwVLjv7edI,THE BEST I CAN DO! Legendary Negotiation Showdowns | Pawn Stars,https://www.youtube.com/watch?v=7UwVLjv7edI
Et0ffkSmY-0,BIGGEST DEALS OF SEASON 13! | Pawn Stars,https://www.youtube.com/watch?v=Et0ffkSmY-0
mox-84CPxlo,RARE Antiques That Stand the Test of Time | Pawn Stars,https://www.youtube.com/watch?v=mox-84CPxlo
NB9Ozcn3_9s,Rick Would Just LOVE To Have These Rarities | Pawn Stars,https://www.youtube.com/watch?v=NB9Ozcn3_9s
TXRZ_zzJM40,"Lights, Camera, PAWN! Hollywood Movie Treasures | Compilation | Pawn Stars",https://www.youtube.com/watch?v=TXRZ_zzJM40
FpOJLkBOy90,Pawn Stars LIVE STREAM: The Most Expensive Items of All Time | Pawn Stars,https://www.youtube.com/watch?v=FpOJLkBOy90
dGjdAbEnViM,"Pawn Stars Super Sports Showdown: Every Deal, Every Sport! *5 HOUR MEGA COMPILATION* | Pawn Stars",https://www.youtube.com/watch?v=dGjdAbEnViM
6Jnb1Zh_Pdo,20 SUPER RARE HIGH VALUE ITEMS | Pawn Stars,https://www.youtube.com/watch?v=6Jnb1Zh_Pdo
E-zS0J6oovk,Rick's Most AWESOME Deals | Pawn Stars,https://www.youtube.com/watch?v=E-zS0J6oovk
7nXkB2d-x40,Prototype Power: Rare Test Models That Changed Everything | Pawn Stars,https://www.youtube.com/watch?v=7nXkB2d-x40
Ub3feVH3Oqw,TOP 8 PAWNS OF 2024! | Pawn Stars,https://www.youtube.com/watch?v=Ub3feVH3Oqw
MKbGkkYjGO0,Licensed to Pawn: James Bond Collectibles | Pawn Stars,https://www.youtube.com/watch?v=MKbGkkYjGO0
HEfgqTjzNJs,Incredibly Rare Pieces of Americana | Pawn Stars,https://www.youtube.com/watch?v=HEfgqTjzNJs
o8mQwwqPZEE,All That Glitters IS Gold! | Pawn Stars,https://www.youtube.com/watch?v=o8mQwwqPZEE
m6AKZ5RyAKw,Attic Treasures That Shocked the Shop | Compilation | Pawn Stars,https://www.youtube.com/watch?v=m6AKZ5RyAKw
QSG0LirAX9k,BEST OF PAWN STARS 2025! (Part 2) | Compilation | Pawn Stars,https://www.youtube.com/watch?v=QSG0LirAX9k
mfEP0AU0K3c,Rick's WILDEST Pawn Ideas | Pawn Stars,https://www.youtube.com/watch?v=mfEP0AU0K3c
GXGjSP6aERQ,Fire in the Hole! Cannons Roll Into the Shop | Compilation | Pawn Stars,https://www.youtube.com/watch?v=GXGjSP6aERQ
kdf0_7DP9NI,"Keyed Up for Big Deals: Pianos, Organs & Rock ’n’ Roll Relics | Pawn Stars",https://www.youtube.com/watch?v=kdf0_7DP9NI
cEjwyrI-SUU,He Just HAD to Have It! (Super Special Treasures) | Pawn Stars,https://www.youtube.com/watch?v=cEjwyrI-SUU
EhMHO89wUFU,SPOOKIEST HALLOWEEN ITEMS OF ALL TIME *Mega Compilation* | Pawn Stars,https://www.youtube.com/watch?v=EhMHO89wUFU
uE_bNm2Bag8,Rick Nerds Out Over the Coolest Finds in the Shop | Compilation | Pawn Stars,https://www.youtube.com/watch?v=uE_bNm2Bag8
eAX-SPxTNQ0,Roll the Dice on These Retro Board Games! | Compilation | Pawn Stars,https://www.youtube.com/watch?v=eAX-SPxTNQ0
hfXn6m8xdsc,Rick and Spencer's Top 7 Picks! | Pawn Stars,https://www.youtube.com/watch?v=hfXn6m8xdsc
b4ghgAsQUdg,THE BEST OF NEW YORK! Empire State of Pawns 🗽 | Compilation | Pawn Stars,https://www.youtube.com/watch?v=b4ghgAsQUdg
yxLJLEqEFfo,HISTORIC 18th & 19th Century Finds | Pawn Stars,https://www.youtube.com/watch?v=yxLJLEqEFfo
